week,Alfredo Sauce,Anchovies,Artichoke,Artichokes,Arugula,Asiago Cheese,Bacon,Barbecue Sauce,Barbecued Chicken,Beef Chuck Roast,Blue Cheese,Brie Carre Cheese,Calabrese Salami,Capocollo,Caramelized Onions,Chicken,Chipotle Sauce,Chorizo Sausage,Cilantro,Coarse Sicilian Salami,Corn,Eggplant,Feta Cheese,Fontina Cheese,Friggitello Peppers,Garlic,Genoa Salami,Goat Cheese,Gorgonzola Piccante Cheese,Gouda Cheese,Green Olives,Green Peppers,Italian Sausage,Jalapeno Peppers,Kalamata Olives,Luganega Sausage,Mozzarella Cheese,Mushrooms,Onions,Oregano,Pancetta,Parmigiano Reggiano Cheese,Pears,Peperoncini verdi,Pepperoni,Pesto Sauce,Pineapple,Plum Tomatoes,Prosciutto,Prosciutto di San Daniele,Provolone Cheese,Red Onions,Red Peppers,Ricotta Cheese,Romano Cheese,Sliced Ham,Smoked Gouda Cheese,Soppressata Salami,Spinach,Sun-dried Tomatoes,Thai Sweet Chilli Sauce,Thyme,Tomato Sauce,Tomatoes,Zucchini,Nduja Salami
00,13,19,26,77,20,46,46,38,38,23,21,3,32,93,3,100,39,21,39,20,39,12,54,32,4,337,14,47,20,26,83,65,21,65,49,20,591,95,20,21,4,20,3,26,120,35,58,7,3,20,21,247,206,20,21,26,21,6,115,20,32,3,434,350,28,4
01,28,21,43,110,28,80,85,33,33,30,32,8,41,136,8,158,57,35,57,44,57,22,106,62,19,564,34,61,39,43,129,83,35,100,66,44,972,205,44,23,19,39,8,38,219,56,86,18,8,28,32,382,307,39,32,44,32,19,203,32,42,8,756,511,54,19
02,12,31,47,102,26,59,67,54,54,23,27,5,33,120,5,163,68,29,68,50,68,20,78,64,14,519,30,57,28,47,129,113,29,115,52,50,917,169,50,24,14,28,5,33,200,56,82,12,5,26,27,362,308,28,27,38,27,17,187,32,44,5,683,524,52,14
03,17,41,48,106,35,62,79,45,45,26,38,11,37,120,11,159,56,38,56,39,56,23,90,66,14,565,28,55,40,48,132,110,38,104,62,39,968,186,39,25,14,40,11,30,200,58,90,19,11,35,38,379,310,40,38,41,38,18,200,36,49,11,743,516,59,14
04,19,31,53,111,31,69,85,53,53,31,25,11,32,136,11,159,65,36,65,43,65,27,81,75,23,578,31,73,38,53,119,101,36,118,62,43,975,176,43,38,23,38,11,35,204,60,83,12,11,31,25,387,334,38,25,43,25,22,183,30,40,11,738,542,55,23
05,23,21,46,116,33,71,82,49,49,23,28,15,43,155,15,156,60,41,60,35,60,18,92,61,24,575,27,85,37,46,114,116,41,106,59,35,988,200,35,42,24,37,15,43,205,52,84,15,15,33,28,400,324,37,28,49,28,15,211,34,35,15,769,531,59,24
06,19,28,45,101,29,50,72,54,54,34,30,12,36,113,12,163,76,33,76,53,76,28,90,64,18,561,17,60,45,45,143,112,33,121,59,53,976,180,53,27,18,45,12,33,182,62,84,11,12,29,30,382,335,45,30,45,30,19,183,26,39,12,726,551,62,18
07,14,28,53,103,33,54,81,43,43,24,23,9,31,106,9,182,62,35,62,33,62,17,88,71,20,508,25,50,33,53,113,104,35,115,59,33,933,183,33,22,20,33,9,28,192,66,104,20,9,33,23,359,314,33,23,53,23,18,214,43,51,9,697,502,50,20
08,15,30,51,122,23,79,74,37,37,23,32,6,28,127,6,164,59,36,59,36,59,21,99,72,18,559,36,63,43,51,120,108,36,110,73,36,972,199,36,28,18,43,6,35,227,58,88,22,6,23,32,364,295,43,32,50,32,21,230,38,38,6,765,518,59,18
09,29,26,47,116,41,77,89,63,63,15,26,11,33,127,11,177,73,39,73,35,73,24,78,66,16,519,29,65,29,47,114,127,39,120,50,35,996,209,35,29,16,29,11,36,205,58,109,16,11,41,26,400,360,29,26,63,26,19,196,37,46,11,727,531,57,16
10,16,29,41,96,26,48,91,51,51,27,30,13,31,112,13,168,71,47,71,35,71,16,96,56,17,539,17,64,52,41,118,116,47,112,55,35,965,196,35,31,17,52,13,33,195,53,98,13,13,26,30,379,336,52,30,41,30,15,194,32,57,13,717,522,48,17
11,19,26,41,112,25,74,82,49,49,33,28,10,38,137,10,163,59,37,59,34,59,21,102,57,11,543,39,60,41,41,115,105,37,100,65,34,949,189,34,21,11,41,10,39,201,61,96,16,10,25,28,380,311,41,28,51,28,16,198,36,45,10,716,520,53,11
12,23,17,46,123,25,65,81,45,45,27,29,7,32,131,7,177,74,33,74,43,74,20,95,68,11,537,28,71,31,46,108,95,33,120,63,43,954,189,43,27,11,31,7,44,196,68,92,22,7,25,29,370,332,31,29,49,29,22,203,45,43,7,701,516,47,11
13,26,37,42,122,33,80,88,50,50,34,26,11,39,146,11,189,67,38,67,31,67,20,101,69,25,563,27,80,34,42,129,107,38,109,81,31,1025,207,31,37,25,34,11,43,210,48,107,20,11,33,26,431,354,34,26,50,26,27,195,32,57,11,777,575,51,25
14,23,21,34,115,29,71,77,56,56,40,25,5,42,143,5,156,76,25,76,28,76,22,114,56,20,544,28,73,36,34,112,104,25,110,84,28,968,195,28,34,20,36,5,39,190,50,97,24,5,29,25,430,357,36,25,48,25,22,183,34,49,5,714,551,49,20
15,12,30,51,105,18,67,84,48,48,34,24,7,37,134,7,170,72,32,72,39,72,17,98,75,21,564,39,58,37,51,123,114,32,123,71,39,967,197,39,24,21,37,7,34,198,50,104,21,7,18,24,408,331,37,24,53,24,24,203,38,51,7,734,551,56,21
16,13,25,39,112,27,58,92,50,50,30,30,7,44,136,7,173,66,40,66,43,66,23,91,57,14,558,28,64,43,39,132,109,40,105,64,43,975,186,43,23,14,43,7,41,206,73,91,17,7,27,30,383,341,43,30,44,30,18,198,31,47,7,726,552,54,14
17,23,20,50,113,21,79,80,48,48,28,20,10,39,134,10,169,56,35,56,28,56,20,103,61,18,525,33,62,34,50,108,99,35,106,66,28,934,190,28,30,18,34,10,32,210,64,90,15,10,21,20,381,308,34,20,52,20,11,219,38,38,10,705,505,47,18
